# Format: name;type;level;speed;HP;Moves1,...;

# Magma Starter
Blazefury;magma;2;75;113;SootStrike,EmberSpin,Cut,InfernoBurst;

Cragburn;magma;1;47;96;ScorchingSwipe,FlameCharge,Stomp,EmberSpin;
Cindercrag;magma;2;67;106;FlareFlicker,MagmaSmash,Bite,LavaJet;

Moltora;magma;1;50;100;FlameCharge,HoofSpark,Stomp,EmberSpin;
Vulkar;magma;1;56;105;MagmaSmash,ScorchingSwipe,Bite,LavaJet;
Volcadrill;magma;2;76;115;InfernoBurst,SootStrike,Stomp,FlareFlicker;

# Aqua
Forstfletch;aqua;1;50;99;Splash,Rippleclaw,Stomp,TidalFang;
Claciquil;aqua;2;69;109;HydroHose,AquaVortex,Cut,Tsunami;

Tidegill;aqua;1;49;99;Splash,Rippleclaw,Stomp,TidalFang;
Riptalon;aqua;2;69;109;HydroHose,AquaVortex,Cut,Tsunami;
Maelstryx;aqua;3;89;119;GlacialDive,Flood,SereneStrike,WaterGeyser;

Aquabeak;aqua;1;52;101;Rippleclaw,Splash,Stomp,HydroHose;
Typhloon;aqua;2;72;111;AquaVortex,TidalFang,Cut,Tsunami;

Coralfin;aqua;1;48;100;Splash,TidalFang,Rippleclaw,Stomp;
Coralite;aqua;2;68;110;HydroHose,GlacialDive,Cut,WaterGeyser;

Mersurge;aqua;1;50;99;Splash,AquaVortex,Rippleclaw,Stomp;
Hydroslash;aqua;2;70;109;HydroHose,TidalFang,Cut,Tsunami;

Frostpaddle;aqua;1;51;100;Splash,Rippleclaw,TidalFang,Cut;
Glacierfin;aqua;2;71;110;HydroHose,AquaVortex,GlacialDive,Tsunami;

Rivermane;aqua;1;47;97;Splash,Rippleclaw,HydroHose,Cut;
Cascadehorn;aqua;2;67;107;GlacialDive,AquaVortex,TidalFang,WaterGeyser;

Krillguard;aqua;1;49;98;Splash,Rippleclaw,Stomp,TidalFang;
Hydroguard;aqua;2;69;108;HydroHose,AquaVortex,Cut,GlacialDive;

# Flora
Sporebell;flora;1;48;98;RootSlap,VineLash,Whisperwind,BuddingBlast;
Toxbloom;flora;2;68;108;ThornSlash,VerdantAbsorption,PetalPrison,MoonlitBloom;
Fungoroot;flora;3;88;118;Lunarbeam,RootRumble,SereneStrike,BrambleStrike;

Leafdrift;flora;1;50;100;RootSlap,VineLash,VerdantAbsorption,BuddingBlast;
Aerialfern;flora;2;70;110;ThornSlash,PetalPrison,Whisperwind,MoonlitBloom;

Cactot;flora;1;51;99;RootSlap,VineLash,ThornSlash,BuddingBlast;
Cactogrow;flora;2;71;109;VerdantAbsorption,PetalPrison,Whisperwind,MoonlitBloom;

Bramblespike;flora;1;49;98;RootSlap,VineLash,ThornSlash,BuddingBlast;
Thornhoof;flora;2;69;108;VerdantAbsorption,PetalPrison,Whisperwind,MoonlitBloom;

Petalscorch;flora;1;53;100;RootSlap,VineLash,ThornSlash,BuddingBlast;
Sunbrume;flora;2;73;110;VerdantAbsorption,PetalPrison,Whisperwind,MoonlitBloom;

Mossplush;flora;1;47;97;RootSlap,VineLash,ThornSlash,BuddingBlast;
Grumoss;flora;2;67;107;VerdantAbsorption,PetalPrison,Whisperwind,MoonlitBloom;

Vinemask;flora;1;49;99;RootSlap,VineLash,ThornSlash,BuddingBlast;
Canopyshade;flora;2;69;109;VerdantAbsorption,PetalPrison,Whisperwind,MoonlitBloom;

Budfrost;flora;1;50;101;RootSlap,VineLash,ThornSlash,BuddingBlast;
Arctobloom;flora;2;70;111;VerdantAbsorption,PetalPrison,Whisperwind,MoonlitBloom;

Fernfox;flora;1;50;101;RootSlap,VineLash,ThornSlash,BuddingBlast;
